J12	Jmax	theta0
0.3	6	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f
0.0	0.17453292519943295	-1.5707963267948966	5.0798201873545104e-17	6.100218766816099e-17
0.0	0.17453292519943295	-1.415655948839845	5.95147363496638e-17	7.159954259355935e-17
0.0	0.17453292519943295	-1.2605155708847935	5.3625337357698463e-17	6.438827661699408e-17
0.0	0.17453292519943295	-1.105375192929742	5.470604437969923e-17	6.572843545999676e-17
0.0	0.17453292519943295	-0.9502348149746905	5.949760810301344e-17	7.202526087903076e-17
0.0	0.17453292519943295	-0.795094437019639	4.825166061495282e-17	5.783487354126822e-17
0.0	0.17453292519943295	-0.6399540590645876	5.554833421540448e-17	6.811971749406454e-17
0.0	0.17453292519943295	-0.48481368110953604	4.975841995537762e-17	6.010068810429714e-17
0.0	0.17453292519943295	-0.3296733031544845	2.090934163628284e-17	4.157873230879155e-17
0.0	0.17453292519943295	-0.17453292519943295	-3.0595969466586966e-17	3.059597069576129e-17
0.0	0.32967330315448445	-1.5707963267948966	4.672875487504772e-17	5.579790399924058e-17
0.0	0.32967330315448445	-1.415655948839845	4.457398349965155e-17	5.314001196292291e-17
0.0	0.32967330315448445	-1.2605155708847935	4.526227561463808e-17	5.414982128092001e-17
0.0	0.32967330315448445	-1.105375192929742	4.4965313665880107e-17	5.390054886479337e-17
0.0	0.32967330315448445	-0.9502348149746905	5.111281085056586e-17	6.125945704026649e-17
0.0	0.32967330315448445	-0.795094437019639	4.163903941137714e-17	4.967572970736173e-17
0.0	0.32967330315448445	-0.6399540590645876	4.6890409650346675e-17	5.599712534446341e-17
0.0	0.32967330315448445	-0.48481368110953604	4.9346058778566235e-17	5.96093759472101e-17
0.0	0.32967330315448445	-0.3296733031544845	-3.101892416461364e-17	3.107229572269972e-17
0.0	0.32967330315448445	-0.17453292519943295	-4.148622261635195e-17	-2.0883231592296408e-17
0.0	0.48481368110953593	-1.5707963267948966	7.016690146875737e-17	8.502518691557548e-17
0.0	0.48481368110953593	-1.415655948839845	6.677246559570688e-17	8.088772303189872e-17
0.0	0.48481368110953593	-1.2605155708847935	6.28251473420446e-17	7.591369342362979e-17
0.0	0.48481368110953593	-1.105375192929742	5.754172300256003e-17	6.92938268356155e-17
0.0	0.48481368110953593	-0.9502348149746905	3.858488370058674e-17	4.617694552606795e-17
0.0	0.48481368110953593	-0.795094437019639	4.229863190255826e-17	5.062201116319997e-17
0.0	0.48481368110953593	-0.6399540590645876	4.5848136915066e-17	5.48509174006634e-17
0.0	0.48481368110953593	-0.48481368110953604	-3.0891288401607054e-17	3.084597675205151e-17
0.0	0.48481368110953593	-0.3296733031544845	-6.335364128755526e-17	-5.168373842373926e-17
0.0	0.48481368110953593	-0.17453292519943295	-6.00220394216688e-17	-4.9742278829088296e-17
0.0	0.6399540590645875	-1.5707963267948966	6.629276934452769e-17	7.994603026760717e-17
0.0	0.6399540590645875	-1.415655948839845	5.1589088255358157e-17	6.173768147947162e-17
0.0	0.6399540590645875	-1.2605155708847935	6.226624963969392e-17	7.505441493791914e-17
0.0	0.6399540590645875	-1.105375192929742	5.95746201329894e-17	7.165516876371772e-17
0.0	0.6399540590645875	-0.9502348149746905	5.800778384266411e-17	7.033471856095325e-17
0.0	0.6399540590645875	-0.795094437019639	5.213054692993136e-17	6.267437350784007e-17
0.0	0.6399540590645875	-0.6399540590645876	-3.326255318219024e-17	3.3286512588730686e-17
0.0	0.6399540590645875	-0.48481368110953604	-5.491686370040708e-17	-4.580279780051625e-17
0.0	0.6399540590645875	-0.3296733031544845	-5.449002602032311e-17	-4.546167569074761e-17
0.0	0.6399540590645875	-0.17453292519943295	-6.814068671157681e-17	-5.555584844811969e-17
0.0	0.795094437019639	-1.5707963267948966	5.203550621937606e-17	6.238792040807823e-17
0.0	0.795094437019639	-1.415655948839845	6.575599049930383e-17	7.942946975214617e-17
0.0	0.795094437019639	-1.2605155708847935	6.567255567692272e-17	8.058367094614193e-17
0.0	0.795094437019639	-1.105375192929742	5.99643759034029e-17	7.257532047781757e-17
0.0	0.795094437019639	-0.9502348149746905	4.1681838667242367e-17	4.988312251140765e-17
0.0	0.795094437019639	-0.795094437019639	-3.443696863104784e-17	3.443696798110044e-17
0.0	0.795094437019639	-0.6399540590645876	-6.504177341980279e-17	-5.3729921867396436e-17
0.0	0.795094437019639	-0.48481368110953604	-4.997331217048678e-17	-4.184359018427438e-17
0.0	0.795094437019639	-0.3296733031544845	-4.9780382326968473e-17	-4.1642636216145686e-17
0.0	0.795094437019639	-0.17453292519943295	-5.781846994617961e-17	-4.82774131628098e-17
0.0	0.9502348149746905	-1.5707963267948966	6.402355894351763e-17	7.729972181445488e-17
0.0	0.9502348149746905	-1.415655948839845	5.994853109551906e-17	7.209472416570638e-17
0.0	0.9502348149746905	-1.2605155708847935	6.020310523498966e-17	7.271870940128814e-17
0.0	0.9502348149746905	-1.105375192929742	5.846176726968436e-17	7.080774670519155e-17
0.0	0.9502348149746905	-0.9502348149746905	-3.6251312835231546e-17	3.625130723171531e-17
0.0	0.9502348149746905	-0.795094437019639	-4.977129815841717e-17	-4.168958869136967e-17
0.0	0.9502348149746905	-0.6399540590645876	-7.020035778902942e-17	-5.800347456018522e-17
0.0	0.9502348149746905	-0.48481368110953604	-7.151319902647683e-17	-5.90070444522774e-17
0.0	0.9502348149746905	-0.3296733031544845	-6.116341731056036e-17	-5.1110733308120874e-17
0.0	0.9502348149746905	-0.17453292519943295	-7.206129933920248e-17	-5.948383916454111e-17
0.0	1.105375192929742	-1.5707963267948966	6.20203259342922e-17	7.460270888782576e-17
0.0	1.105375192929742	-1.415655948839845	6.441621989957659e-17	7.798499815911797e-17
0.0	1.105375192929742	-1.2605155708847935	5.845925670537425e-17	7.045871526208867e-17
0.0	1.105375192929742	-1.105375192929742	-3.525551654377414e-17	3.523634899954671e-17
0.0	1.105375192929742	-0.9502348149746905	-7.074219692604697e-17	-5.841732195666708e-17
0.0	1.105375192929742	-0.795094437019639	-7.250694746576551e-17	-5.994694188360126e-17
0.0	1.105375192929742	-0.6399540590645876	-7.366492349819727e-17	-6.083207480815119e-17
0.0	1.105375192929742	-0.48481368110953604	-6.284019499268853e-17	-5.245876085021001e-17
0.0	1.105375192929742	-0.3296733031544845	-7.362205339880359e-17	-6.097195550811188e-17
0.0	1.105375192929742	-0.17453292519943295	-6.576951010777188e-17	-5.4589215434236974e-17
0.0	1.2605155708847935	-1.5707963267948966	4.715957604559966e-17	5.627407225211762e-17
0.0	1.2605155708847935	-1.415655948839845	6.400467791577546e-17	7.723874201968179e-17
0.0	1.2605155708847935	-1.2605155708847935	-3.8621149102934713e-17	3.86211250682043e-17
0.0	1.2605155708847935	-1.105375192929742	-7.052066488574361e-17	-5.841824126804098e-17
0.0	1.2605155708847935	-0.9502348149746905	-7.273089116358623e-17	-6.019949942991737e-17
0.0	1.2605155708847935	-0.795094437019639	-8.062833647298382e-17	-6.575593030736618e-17
0.0	1.2605155708847935	-0.6399540590645876	-5.1044094915567184e-17	-4.2820945749119653e-17
0.0	1.2605155708847935	-0.48481368110953604	-7.292090242465149e-17	-6.067973303592801e-17
0.0	1.2605155708847935	-0.3296733031544845	-5.417708708026753e-17	-4.5324237618688885e-17
0.0	1.2605155708847935	-0.17453292519943295	-6.427116499050063e-17	-5.370070138904909e-17
0.0	1.415655948839845	-1.5707963267948966	5.900407843365561e-17	7.075112524152672e-17
0.0	1.415655948839845	-1.415655948839845	-3.198043317515747e-17	3.196896349270313e-17
0.0	1.415655948839845	-1.2605155708847935	-7.742610064283671e-17	-6.398341524862455e-17
0.0	1.415655948839845	-1.105375192929742	-7.789742746449178e-17	-6.449390656028739e-17
0.0	1.415655948839845	-0.9502348149746905	-7.217138613467061e-17	-5.995301828300695e-17
0.0	1.415655948839845	-0.795094437019639	-7.946463035888458e-17	-6.570664388884621e-17
0.0	1.415655948839845	-0.6399540590645876	-6.176502119275079e-17	-5.1545971336379676e-17
0.0	1.415655948839845	-0.48481368110953604	-7.304323604758509e-17	-6.076684538898932e-17
0.0	1.415655948839845	-0.3296733031544845	-8.15492615490289e-17	-6.736852758689247e-17
0.0	1.415655948839845	-0.17453292519943295	-7.160173491258956e-17	-5.954157404629472e-17
0.0	1.5707963267948966	-1.5707963267948966	1.5707963267687124	-1.5707963267687124
0.0	1.5707963267948966	-1.415655948839845	-7.07487482526482e-17	-5.896096504949183e-17
0.0	1.5707963267948966	-1.2605155708847935	-5.612706116174652e-17	-4.708080130730073e-17
0.0	1.5707963267948966	-1.105375192929742	-7.457626439305231e-17	-6.202575288876613e-17
0.0	1.5707963267948966	-0.9502348149746905	-7.719579359651114e-17	-6.40492411037928e-17
0.0	1.5707963267948966	-0.795094437019639	-6.226782552764278e-17	-5.201734657376984e-17
0.0	1.5707963267948966	-0.6399540590645876	-7.990617214832407e-17	-6.622680730709695e-17
0.0	1.5707963267948966	-0.48481368110953604	-8.350285249732367e-17	-6.901179434280602e-17
0.0	1.5707963267948966	-0.3296733031544845	-8.394630104004283e-17	-6.929251260248007e-17
0.0	1.5707963267948966	-0.17453292519943295	-6.090633932784763e-17	-5.0781389212963926e-17
0.054165390579134366	0.17453292519943295	-1.5707963267948966	0.04924848190833919	-0.04924848190833903
0.054165390579134366	0.17453292519943295	-1.415655948839845	0.049248481908339185	-0.04924848190833905
0.054165390579134366	0.17453292519943295	-1.2605155708847935	0.049248481908339165	-0.049248481908339074
0.054165390579134366	0.17453292519943295	-1.105375192929742	0.04924848190833918	-0.049248481908339053
0.054165390579134366	0.17453292519943295	-0.9502348149746905	0.049248481908339185	-0.049248481908339053
0.054165390579134366	0.17453292519943295	-0.795094437019639	0.049248481908339165	-0.049248481908339074
0.054165390579134366	0.17453292519943295	-0.6399540590645876	0.04924848190833917	-0.04924848190833906
0.054165390579134366	0.17453292519943295	-0.48481368110953604	0.04924848190833917	-0.04924848190833907
0.054165390579134366	0.17453292519943295	-0.3296733031544845	0.049248481908339144	-0.04924848190833908
0.054165390579134366	0.17453292519943295	-0.17453292519943295	0.049248481908339095	-0.049248481908339095
0.054165390579134366	0.32967330315448445	-1.5707963267948966	0.04924848190833919	-0.04924848190833905
0.054165390579134366	0.32967330315448445	-1.415655948839845	0.049248481908339185	-0.049248481908339053
0.054165390579134366	0.32967330315448445	-1.2605155708847935	0.049248481908339165	-0.049248481908339074
0.054165390579134366	0.32967330315448445	-1.105375192929742	0.04924848190833917	-0.04924848190833907
0.054165390579134366	0.32967330315448445	-0.9502348149746905	0.049248481908339185	-0.049248481908339053
0.054165390579134366	0.32967330315448445	-0.795094437019639	0.049248481908339185	-0.04924848190833906
0.054165390579134366	0.32967330315448445	-0.6399540590645876	0.04924848190833917	-0.04924848190833906
0.054165390579134366	0.32967330315448445	-0.48481368110953604	0.04924848190833917	-0.04924848190833907
0.054165390579134366	0.32967330315448445	-0.3296733031544845	0.04924848190833909	-0.04924848190833909
0.054165390579134366	0.32967330315448445	-0.17453292519943295	0.04924848190833908	-0.049248481908339144
0.054165390579134366	0.48481368110953593	-1.5707963267948966	0.04924848190833917	-0.04924848190833907
0.054165390579134366	0.48481368110953593	-1.415655948839845	0.04924848190833917	-0.04924848190833907
0.054165390579134366	0.48481368110953593	-1.2605155708847935	0.049248481908339165	-0.04924848190833907
0.054165390579134366	0.48481368110953593	-1.105375192929742	0.04924848190833918	-0.04924848190833905
0.054165390579134366	0.48481368110953593	-0.9502348149746905	0.04924848190833917	-0.04924848190833907
0.054165390579134366	0.48481368110953593	-0.795094437019639	0.04924848190833917	-0.04924848190833906
0.054165390579134366	0.48481368110953593	-0.6399540590645876	0.04924848190833917	-0.04924848190833906
0.054165390579134366	0.48481368110953593	-0.48481368110953604	0.04924848190833909	-0.04924848190833909
0.054165390579134366	0.48481368110953593	-0.3296733031544845	0.04924848190833907	-0.049248481908339165
0.054165390579134366	0.48481368110953593	-0.17453292519943295	0.04924848190833907	-0.04924848190833917
0.054165390579134366	0.6399540590645875	-1.5707963267948966	0.049248481908339165	-0.049248481908339074
0.054165390579134366	0.6399540590645875	-1.415655948839845	0.049248481908339165	-0.04924848190833907
0.054165390579134366	0.6399540590645875	-1.2605155708847935	0.04924848190833918	-0.049248481908339053
0.054165390579134366	0.6399540590645875	-1.105375192929742	0.049248481908339185	-0.04924848190833905
0.054165390579134366	0.6399540590645875	-0.9502348149746905	0.049248481908339165	-0.049248481908339074
0.054165390579134366	0.6399540590645875	-0.795094437019639	0.04924848190833917	-0.04924848190833906
0.054165390579134366	0.6399540590645875	-0.6399540590645876	0.04924848190833909	-0.04924848190833909
0.054165390579134366	0.6399540590645875	-0.48481368110953604	0.04924848190833906	-0.04924848190833917
0.054165390579134366	0.6399540590645875	-0.3296733031544845	0.04924848190833906	-0.04924848190833917
0.054165390579134366	0.6399540590645875	-0.17453292519943295	0.04924848190833906	-0.04924848190833918
0.054165390579134366	0.795094437019639	-1.5707963267948966	0.049248481908339185	-0.04924848190833905
0.054165390579134366	0.795094437019639	-1.415655948839845	0.04924848190833918	-0.049248481908339053
0.054165390579134366	0.795094437019639	-1.2605155708847935	0.049248481908339185	-0.04924848190833905
0.054165390579134366	0.795094437019639	-1.105375192929742	0.049248481908339165	-0.049248481908339074
0.054165390579134366	0.795094437019639	-0.9502348149746905	0.04924848190833918	-0.049248481908339053
0.054165390579134366	0.795094437019639	-0.795094437019639	0.04924848190833909	-0.04924848190833909
0.054165390579134366	0.795094437019639	-0.6399540590645876	0.04924848190833907	-0.04924848190833917
0.054165390579134366	0.795094437019639	-0.48481368110953604	0.049248481908339053	-0.04924848190833918
0.054165390579134366	0.795094437019639	-0.3296733031544845	0.049248481908339053	-0.049248481908339185
0.054165390579134366	0.795094437019639	-0.17453292519943295	0.049248481908339074	-0.049248481908339165
0.054165390579134366	0.9502348149746905	-1.5707963267948966	0.049248481908339185	-0.04924848190833904
0.054165390579134366	0.9502348149746905	-1.415655948839845	0.049248481908339165	-0.04924848190833907
0.054165390579134366	0.9502348149746905	-1.2605155708847935	0.049248481908339165	-0.04924848190833907
0.054165390579134366	0.9502348149746905	-1.105375192929742	0.049248481908339185	-0.04924848190833905
0.054165390579134366	0.9502348149746905	-0.9502348149746905	0.04924848190833909	-0.04924848190833909
0.054165390579134366	0.9502348149746905	-0.795094437019639	0.049248481908339053	-0.04924848190833918
0.054165390579134366	0.9502348149746905	-0.6399540590645876	0.049248481908339074	-0.049248481908339165
0.054165390579134366	0.9502348149746905	-0.48481368110953604	0.049248481908339053	-0.04924848190833918
0.054165390579134366	0.9502348149746905	-0.3296733031544845	0.049248481908339053	-0.049248481908339185
0.054165390579134366	0.9502348149746905	-0.17453292519943295	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.105375192929742	-1.5707963267948966	0.049248481908339185	-0.04924848190833905
0.054165390579134366	1.105375192929742	-1.415655948839845	0.049248481908339185	-0.04924848190833905
0.054165390579134366	1.105375192929742	-1.2605155708847935	0.04924848190833918	-0.049248481908339053
0.054165390579134366	1.105375192929742	-1.105375192929742	0.04924848190833908	-0.04924848190833908
0.054165390579134366	1.105375192929742	-0.9502348149746905	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.105375192929742	-0.795094437019639	0.049248481908339074	-0.049248481908339165
0.054165390579134366	1.105375192929742	-0.6399540590645876	0.049248481908339053	-0.04924848190833918
0.054165390579134366	1.105375192929742	-0.48481368110953604	0.04924848190833906	-0.04924848190833917
0.054165390579134366	1.105375192929742	-0.3296733031544845	0.04924848190833905	-0.049248481908339185
0.054165390579134366	1.105375192929742	-0.17453292519943295	0.049248481908339053	-0.04924848190833918
0.054165390579134366	1.2605155708847935	-1.5707963267948966	0.04924848190833919	-0.04924848190833903
0.054165390579134366	1.2605155708847935	-1.415655948839845	0.04924848190833919	-0.04924848190833904
0.054165390579134366	1.2605155708847935	-1.2605155708847935	0.04924848190833909	-0.04924848190833909
0.054165390579134366	1.2605155708847935	-1.105375192929742	0.049248481908339053	-0.04924848190833918
0.054165390579134366	1.2605155708847935	-0.9502348149746905	0.04924848190833907	-0.049248481908339165
