alpha	beta	Jinit	J12	Jmax	theta0
0.2	0.005	0.5	0.3	6	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	-4.2239133499441273e-26	-4.223276407771015e-26	5.999999999999999	5.999999999999999
0.0	-1.5707963267948966	-1.4624655456366278	-3.379815169936787e-23	3.425245183640692e-23	6.000000000133455	6.000000000132687
0.0	-1.5707963267948966	-1.354134764478359	2.08029683118417e-19	-2.048691345961964e-19	6.000000000009332	6.0000000000092175
0.0	-1.5707963267948966	-1.2458039833200902	2.4459506519840224e-25	-2.440588300895902e-25	5.999999999992585	5.999999999992732
0.0	-1.5707963267948966	-1.1374732021618217	-5.580833844306647e-26	5.383683007606816e-26	5.999999999999921	5.999999999999923
0.0	-1.5707963267948966	-1.029142421003553	-9.512793304568586e-23	9.512953888304965e-23	6.000000000000211	6.000000000000203
0.0	-1.5707963267948966	-0.9208116398452841	-2.673057354824441e-19	3.0038989759645767e-19	6.00000000136734	6.000000001298446
0.0	-1.5707963267948966	-0.8124808586870155	-5.070308126917839e-26	5.0664673576992903e-26	5.999999999993251	5.999999999993685
0.0	-1.5707963267948966	-0.7041500775287467	2.4100862845946985e-19	-2.689019277486951e-19	6.000000001364967	6.000000001254238
0.0	-1.5707963267948966	-0.5958192963704779	7.562085047526009e-25	-7.563620706052895e-25	5.999999999993034	5.999999999993744
0.0	-1.5707963267948966	-0.48748851521220926	-3.3772865100575736e-24	3.37762022682418e-24	5.999999999999993	5.999999999999994
0.0	-1.5707963267948966	-0.3791577340539405	-8.424550149608368e-29	8.434711223992889e-29	5.999999999999979	5.999999999999982
0.0	-1.5707963267948966	-0.2708269528956717	-6.255495055999793e-23	7.266807597775147e-23	6.00000000000134	6.000000000000839
0.0	-1.5707963267948966	-0.16249617173740294	1.3097056362119576e-23	-1.307535703861703e-23	6.000000000000196	6.0000000000001235
0.0	-1.5707963267948966	-0.05416539057913439	-2.6985326182073176e-22	2.7148693000247484e-22	6.000000000007617	6.000000000004815
0.0	-1.5707963267948966	0.05416539057913439	-9.65069391179128e-22	3.084725991477998e-22	6.000000000000075	6.000000000000047
0.0	-1.5707963267948966	0.16249617173740316	8.150611914336468e-25	-7.014137044764325e-25	6.000000000000071	6.000000000000045
0.0	-1.5707963267948966	0.27082695289567194	2.7695676508939303e-23	-3.18630129808879e-23	5.999999999994107	5.999999999996232
0.0	-1.5707963267948966	0.3791577340539407	7.130268374715418e-25	-7.014859296254853e-25	5.999999999998116	5.999999999998777
0.0	-1.5707963267948966	0.48748851521220926	-6.984316996609518e-24	7.033540083305006e-24	6.000000000000027	6.000000000000018
0.0	-1.5707963267948966	0.595819296370478	-5.436629277823381e-23	5.512530827838581e-23	5.9999999999705045	5.9999999999789715
0.0	-1.5707963267948966	0.7041500775287468	-5.653039699902542e-24	5.370056342710136e-24	6.000000000000244	6.000000000000181
0.0	-1.5707963267948966	0.8124808586870156	-2.6193691611807274e-21	2.688640262831454e-21	6.0000000000000755	6.000000000000059
0.0	-1.5707963267948966	0.9208116398452844	1.1158720157608848e-20	-1.154688504112239e-20	5.999999999377593	5.9999999994978594
0.0	-1.5707963267948966	1.0291424210035531	-7.38174178356922e-26	7.547941699150842e-26	5.9999999999929585	5.999999999994096
0.0	-1.5707963267948966	1.137473202161822	-3.757046985022206e-20	3.7700584144233204e-20	5.999999999987929	5.999999999989495
0.0	-1.5707963267948966	1.2458039833200907	-4.960413054209704e-28	4.965074755805515e-28	5.999999999999999	5.999999999999999
0.0	-1.5707963267948966	1.354134764478359	2.588950662602618e-20	-2.5963186780699393e-20	5.999999999989586	5.999999999990271
0.0	-1.5707963267948966	1.4624655456366278	6.623620975998162e-22	-6.624330108646072e-22	5.999999999738594	5.9999999997472715
0.0	-1.5707963267948966	1.5707963267948966	9.601014955898584e-18	-9.600997915487345e-18	6.0000000018018245	6.0000000018018245
0.0	-1.4624655456366278	-1.5707963267948966	3.425240075508815e-23	-3.3797667508667546e-23	6.000000000132687	6.000000000133455
0.0	-1.4624655456366278	-1.4624655456366278	4.985833138834769e-19	4.985262448366898e-19	5.99999999999845	5.99999999999845
0.0	-1.4624655456366278	-1.354134764478359	1.6560886554308298e-20	2.4697187697830226e-20	6.000000011780166	6.000000011701782
0.0	-1.4624655456366278	-1.2458039833200902	-1.2453919613239941e-24	9.031870245300408e-25	5.999999999907581	5.999999999908906
0.0	-1.4624655456366278	-1.1374732021618217	2.913821799405132e-28	-2.9149068158452376e-28	5.999999999999999	5.999999999999999
0.0	-1.4624655456366278	-1.029142421003553	9.81020576915263e-20	-9.749974828028896e-20	6.000000000000134	6.000000000000129
0.0	-1.4624655456366278	-0.9208116398452841	-4.122619379936056e-24	4.131969989502799e-24	5.999999999999993	5.999999999999994
0.0	-1.4624655456366278	-0.8124808586870155	3.854736731126312e-19	-3.857517327477026e-19	6.0000000000040705	6.0000000000038245
0.0	-1.4624655456366278	-0.7041500775287467	4.8275638623187987e-29	-4.707163565083301e-29	5.999999999999996	5.999999999999996
0.0	-1.4624655456366278	-0.5958192963704779	-6.350486476062341e-28	6.35953313263176e-28	5.999999999999999	5.999999999999999
0.0	-1.4624655456366278	-0.48748851521220926	-2.6495870281741818e-27	2.647834595142279e-27	5.999999999999901	5.999999999999914
0.0	-1.4624655456366278	-0.3791577340539405	-6.1662716255187935e-24	6.148393114123779e-24	6.000000000000321	6.000000000000265
0.0	-1.4624655456366278	-0.2708269528956717	-5.0733374109485833e-23	3.902662293615036e-23	5.999999999999998	5.999999999999999
0.0	-1.4624655456366278	-0.16249617173740294	3.758950248132947e-25	-7.3388602019315375e-25	5.999999999999997	5.999999999999997
0.0	-1.4624655456366278	-0.05416539057913439	8.35218902758032e-25	-8.391750277043564e-25	5.999999999999988	5.999999999999992
0.0	-1.4624655456366278	0.05416539057913439	-1.6454609529902213e-25	1.434014794457735e-25	5.999999999992574	5.999999999995152
0.0	-1.4624655456366278	0.16249617173740316	-1.6802032477520796e-20	1.7687920962979046e-20	5.999999999875486	5.999999999918358
0.0	-1.4624655456366278	0.27082695289567194	-6.109320580948744e-21	6.247456433415138e-21	5.999999999992729	5.999999999995214
0.0	-1.4624655456366278	0.3791577340539407	3.0607935863187683e-22	-3.1343191252208397e-22	5.99999999967818	5.999999999784487
0.0	-1.4624655456366278	0.48748851521220926	-1.07237739326767e-20	1.1014614819640139e-20	5.9999999999259765	5.999999999947966
0.0	-1.4624655456366278	0.595819296370478	-8.836841970909684e-24	8.263523234907724e-24	5.999999999993354	5.99999999999511
0.0	-1.4624655456366278	0.7041500775287468	2.161741907639893e-24	-1.8017745648439773e-24	6.000000000025334	6.000000000019472
0.0	-1.4624655456366278	0.8124808586870156	-6.50576679090781e-23	6.425613034994026e-23	5.999999998916712	5.999999999131775
0.0	-1.4624655456366278	0.9208116398452844	-1.4853074027877399e-22	1.4844392400317567e-22	5.9999999999947375	5.999999999995608
0.0	-1.4624655456366278	1.0291424210035531	-3.90240335781388e-26	3.9037873277556347e-26	5.999999999999993	5.999999999999994
0.0	-1.4624655456366278	1.137473202161822	-1.6037112627832193e-24	1.5595974093252903e-24	5.999999999999993	5.999999999999993
0.0	-1.4624655456366278	1.2458039833200907	1.2425870788498138e-22	-1.2424172007975561e-22	5.9999999999999885	5.9999999999999885
0.0	-1.4624655456366278	1.354134764478359	3.297881118367831e-19	-3.3109625714759515e-19	5.999999999993501	5.999999999993718
0.0	-1.4624655456366278	1.4624655456366278	8.358695045714531e-21	-8.358696879405481e-21	6.000000000024718	6.000000000024718
0.0	-1.4624655456366278	1.5707963267948966	6.624362469884187e-22	-6.623615558610159e-22	5.9999999997472715	5.999999999738594
0.0	-1.354134764478359	-1.5707963267948966	-2.0486407554968967e-19	2.0803308489278896e-19	6.0000000000092175	6.000000000009332
0.0	-1.354134764478359	-1.4624655456366278	2.4696921391382247e-20	1.656067194137896e-20	6.00000001170162	6.000000011780024
0.0	-1.354134764478359	-1.354134764478359	-7.084843827699798e-23	-7.084697837805708e-23	5.999999999999994	5.999999999999994
0.0	-1.354134764478359	-1.2458039833200902	1.934343216407225e-21	-2.1780358051197915e-21	5.999999999999979	5.999999999999979
0.0	-1.354134764478359	-1.1374732021618217	3.650091341872061e-24	-3.764237117369792e-24	6.0000000000025455	6.000000000002504
0.0	-1.354134764478359	-1.029142421003553	3.1991862748471458e-24	-3.339953411620037e-24	5.999999999999798	5.999999999999804
0.0	-1.354134764478359	-0.9208116398452841	-8.352547424757521e-21	8.348533443612379e-21	6.000000000000111	6.000000000000107
0.0	-1.354134764478359	-0.8124808586870155	3.376658557768563e-24	-3.434678266662505e-24	5.99999999999999	5.999999999999992
0.0	-1.354134764478359	-0.7041500775287467	1.341764923285543e-25	-1.3417078485771207e-25	6.0	6.0
0.0	-1.354134764478359	-0.5958192963704779	5.551076738927623e-23	-5.371288640042324e-23	5.999999999968842	5.999999999971903
0.0	-1.354134764478359	-0.48748851521220926	2.926037756249585e-25	-2.8807626491738464e-25	5.999999999996862	5.999999999997271
0.0	-1.354134764478359	-0.3791577340539405	2.0155143628326153e-12	-1.7213678453266664e-12	6.0000000000305755	6.000000000025032
0.0	-1.354134764478359	-0.2708269528956717	-7.550521918560788e-25	7.423360252723042e-25	5.9999999999995675	5.999999999999715
0.0	-1.354134764478359	-0.16249617173740294	-1.4512974408177048e-22	1.4544121069012206e-22	5.9999999999998685	5.999999999999912
0.0	-1.354134764478359	-0.05416539057913439	-7.105116050984897e-26	3.2291305853219288e-27	5.999999999999999	6.0
0.0	-1.354134764478359	0.05416539057913439	2.5284778635585092e-27	-2.3980299627755346e-27	5.999999999999986	5.999999999999991
0.0	-1.354134764478359	0.16249617173740316	-5.353453991138173e-23	4.96993395557316e-23	6.0000000000005	6.0000000000003375
0.0	-1.354134764478359	0.27082695289567194	-1.905053933847302e-21	2.0049248288860585e-21	5.999999999974352	5.999999999982595
0.0	-1.354134764478359	0.3791577340539407	1.0186541355176121e-18	-2.204583367320473e-18	5.999999999786696	5.999999999852672
0.0	-1.354134764478359	0.48748851521220926	1.0776228951849906e-27	-1.0775449172776242e-27	6.0	6.000000000000001
0.0	-1.354134764478359	0.595819296370478	4.66576606669735e-21	-4.6309903919961896e-21	5.999999999993783	5.999999999995273
0.0	-1.354134764478359	0.7041500775287468	-8.593871241284719e-29	8.600530577989548e-29	6.0	6.0
0.0	-1.354134764478359	0.8124808586870156	5.886649240573947e-24	-6.0357342835435554e-24	5.999999999989229	5.999999999991068
0.0	-1.354134764478359	0.9208116398452844	5.489676693128396e-26	-5.494062419158945e-26	5.999999999999813	5.999999999999838
0.0	-1.354134764478359	1.0291424210035531	-5.1492953399962233e-26	4.9115202057750686e-26	6.00000000000856	6.000000000007685
0.0	-1.354134764478359	1.137473202161822	-2.2290601133161116e-24	2.2182079677603282e-24	6.000000000000004	6.0000000000000036
0.0	-1.354134764478359	1.2458039833200907	9.665601303058181e-19	-9.75464894284603e-19	6.0000000013692025	6.000000001322495
0.0	-1.354134764478359	1.354134764478359	-1.157328390053402e-24	1.1573230689121275e-24	5.999999999999918	5.999999999999918
0.0	-1.354134764478359	1.4624655456366278	3.310975208632837e-19	-3.2979587862969882e-19	5.999999999993718	5.9999999999935
0.0	-1.354134764478359	1.5707963267948966	2.5962285050207793e-20	-2.5886776068560562e-20	5.999999999990271	5.999999999989586
0.0	-1.2458039833200902	-1.5707963267948966	-2.440562942376908e-25	2.445931304322361e-25	5.999999999992732	5.999999999992585
0.0	-1.2458039833200902	-1.4624655456366278	9.031886660503282e-25	-1.2453878834579183e-24	5.999999999908906	5.999999999907581
0.0	-1.2458039833200902	-1.354134764478359	-2.02597921066759e-21	2.043225056904752e-21	5.999999999999979	5.999999999999979
0.0	-1.2458039833200902	-1.2458039833200902	8.259649326231706e-18	8.260909452022288e-18	5.999999999994455	5.999999999994455
0.0	-1.2458039833200902	-1.1374732021618217	1.0795676023517356e-25	-1.042714076187118e-25	6.000000000002385	6.000000000002363
0.0	-1.2458039833200902	-1.029142421003553	4.437622715184614e-23	-4.437931476381771e-23	6.000000000000231	6.0000000000002265
0.0	-1.2458039833200902	-0.9208116398452841	4.803220310292876e-22	-4.656913358115337e-22	6.000000000024767	6.000000000023936
0.0	-1.2458039833200902	-0.8124808586870155	3.005082604092549e-25	-3.004260132071328e-25	6.000000000003116	6.000000000002961
0.0	-1.2458039833200902	-0.7041500775287467	1.6822781453911844e-27	-1.6842893902694107e-27	6.000000000000004	6.0000000000000036
0.0	-1.2458039833200902	-0.5958192963704779	7.277543443955796e-27	-8.017450798068465e-27	5.999999999999988	5.9999999999999885
0.0	-1.2458039833200902	-0.48748851521220926	1.1339372301671103e-22	-1.1341788673795316e-22	6.000000000051974	6.000000000045253
0.0	-1.2458039833200902	-0.3791577340539405	-2.926427535332145e-27	2.9298584146416407e-27	5.999999999999966	5.999999999999973
0.0	-1.2458039833200902	-0.2708269528956717	-2.2387371598482064e-25	1.3125263992881481e-25	5.999999999992535	5.999999999994933
0.0	-1.2458039833200902	-0.16249617173740294	-3.015696499089187e-28	3.0129508180249806e-28	6.000000000000022	6.000000000000015
0.0	-1.2458039833200902	-0.05416539057913439	-3.859227776583032e-22	3.858411482132775e-22	5.999999999999999	5.999999999999999
0.0	-1.2458039833200902	0.05416539057913439	1.47604911752564e-22	-1.3240339852926202e-22	5.999999999999963	5.999999999999974
0.0	-1.2458039833200902	0.16249617173740316	-2.813602606813808e-22	2.902556006586339e-22	5.9999999999999725	5.999999999999981
0.0	-1.2458039833200902	0.27082695289567194	9.445587030594211e-27	-9.468525451720776e-27	5.999999999999914	5.99999999999994
0.0	-1.2458039833200902	0.3791577340539407	5.113269585255411e-19	-2.2590318031693133e-19	6.000000001352574	6.0000000009646275
0.0	-1.2458039833200902	0.48748851521220926	2.211217770246112e-22	-2.231018732792626e-22	6.000000000045112	6.000000000033833
0.0	-1.2458039833200902	0.595819296370478	1.8225874322469153e-23	-1.3547355392260048e-23	5.999999999999992	5.999999999999994
0.0	-1.2458039833200902	0.7041500775287468	-2.123474008694831e-21	2.1277675082806125e-21	5.999999999728374	5.999999999776493
0.0	-1.2458039833200902	0.8124808586870156	-8.039001629592579e-20	8.06320008371618e-20	5.999999999253785	5.999999999359048
0.0	-1.2458039833200902	0.9208116398452844	-6.7041672468602e-24	6.722538484244221e-24	6.000000000004124	6.0000000000036895
0.0	-1.2458039833200902	1.0291424210035531	-7.462423929357034e-26	7.455198167099028e-26	6.000000000002018	6.000000000001877
0.0	-1.2458039833200902	1.137473202161822	8.764383144576131e-26	-8.635602003190516e-26	6.00000000001297	6.000000000012516
0.0	-1.2458039833200902	1.2458039833200907	9.822601768494663e-25	-9.822549615625197e-25	5.999999999992649	5.999999999992649
0.0	-1.2458039833200902	1.354134764478359	9.742735141861664e-28	-9.744277038059796e-28	6.000000000000003	6.000000000000002
0.0	-1.2458039833200902	1.4624655456366278	-5.1458411449071815e-23	3.3963200196637825e-22	6.0	6.0
0.0	-1.2458039833200902	1.5707963267948966	-7.924242249384649e-19	7.892669812708894e-19	5.999999999832335	5.999999999814155
0.0	-1.1374732021618217	-1.5707963267948966	5.384283485419954e-26	-5.580666337371138e-26	5.999999999999923	5.999999999999921
0.0	-1.1374732021618217	-1.4624655456366278	-2.9149155376767387e-28	2.9138197501567795e-28	5.999999999999999	5.999999999999999
0.0	-1.1374732021618217	-1.354134764478359	-3.7642422629015325e-24	3.6500846507486e-24	6.000000000002504	6.0000000000025455
0.0	-1.1374732021618217	-1.2458039833200902	-1.0427137181680638e-25	1.0795725921953586e-25	6.000000000002363	6.000000000002385
0.0	-1.1374732021618217	-1.1374732021618217	-5.568270859904517e-22	-5.568333655206667e-22	6.000000000004747	6.000000000004747
0.0	-1.1374732021618217	-1.029142421003553	-2.186077102763131e-23	2.1925768741387446e-23	6.000000000000001	6.000000000000001
0.0	-1.1374732021618217	-0.9208116398452841	-7.709922359671014e-23	7.668026772681324e-23	6.000000000001028	6.000000000001002
0.0	-1.1374732021618217	-0.8124808586870155	2.982514063386881e-26	-2.9823546097889825e-26	5.9999999999998295	5.999999999999837
0.0	-1.1374732021618217	-0.7041500775287467	-4.567386404300202e-22	6.107538135851188e-22	5.999999999999829	5.99999999999984
0.0	-1.1374732021618217	-0.5958192963704779	3.1035329376168464e-24	-3.1052967777519377e-24	6.0000000000000036	6.0000000000000036
0.0	-1.1374732021618217	-0.48748851521220926	3.9095104786999624e-19	-3.904760080022332e-19	5.999999999999889	5.999999999999903
0.0	-1.1374732021618217	-0.3791577340539405	5.919646517681547e-24	-6.877441543598638e-24	5.999999999995511	5.999999999996372
0.0	-1.1374732021618217	-0.2708269528956717	-7.6702620556454e-21	7.599901428787401e-21	6.000000000004921	6.000000000003437
0.0	-1.1374732021618217	-0.16249617173740294	4.587082243059474e-27	-4.6040836555854644e-27	5.9999999999999964	5.999999999999997
0.0	-1.1374732021618217	-0.05416539057913439	-4.398825748521189e-24	4.2580053042468226e-24	6.000000000000003	6.000000000000002
0.0	-1.1374732021618217	0.05416539057913439	3.2645987697712547e-23	-4.301316753226664e-23	6.000000000005187	6.000000000003703
0.0	-1.1374732021618217	0.16249617173740316	5.351394582288665e-26	-5.269327157413214e-26	5.999999999999807	5.9999999999998614
0.0	-1.1374732021618217	0.27082695289567194	-3.776441073108918e-23	3.820365373633482e-23	5.999999999999984	5.9999999999999885
0.0	-1.1374732021618217	0.3791577340539407	5.692196035594487e-20	-5.700739598368598e-20	5.999999999952974	5.99999999996532
0.0	-1.1374732021618217	0.48748851521220926	-1.5096436155672445e-20	1.9815868372384924e-20	5.999999999957273	5.999999999966829
0.0	-1.1374732021618217	0.595819296370478	2.564389340838254e-23	-2.59775988718925e-23	6.000000000022681	6.000000000018484
0.0	-1.1374732021618217	0.7041500775287468	8.219987265522334e-27	-5.190138660529025e-25	6.000000000002814	6.0000000000024
0.0	-1.1374732021618217	0.8124808586870156	-2.7289527086391166e-21	2.7378908530770066e-21	6.000000000000273	6.000000000000243
0.0	-1.1374732021618217	0.9208116398452844	6.645145271082546e-23	-3.3379440273209e-23	5.999999999994933	5.9999999999953
0.0	-1.1374732021618217	1.0291424210035531	-6.830970859331881e-23	8.750505446217832e-23	5.999999999994448	5.999999999994648
0.0	-1.1374732021618217	1.137473202161822	-1.5361176045657717e-27	1.5361176799847508e-27	5.999999999999768	5.999999999999768
0.0	-1.1374732021618217	1.2458039833200907	-4.4833516789054536e-17	4.512244773588199e-17	5.999999999424806	5.999999999403941
0.0	-1.1374732021618217	1.354134764478359	-3.1639729104417538e-21	3.169798921189519e-21	5.999999999804802	5.999999999790547
0.0	-1.1374732021618217	1.4624655456366278	4.044391850417018e-21	-4.036748883302384e-21	6.000000000007886	6.000000000008758
0.0	-1.1374732021618217	1.5707963267948966	-6.0485693079778655e-30	6.081662558129217e-30	6.000000000000002	6.000000000000002
0.0	-1.029142421003553	-1.5707963267948966	9.512953625556673e-23	-9.512794081668786e-23	6.000000000000203	6.000000000000211
0.0	-1.029142421003553	-1.4624655456366278	-9.617799661774752e-20	9.62664569409377e-20	6.000000000000129	6.000000000000133
0.0	-1.029142421003553	-1.354134764478359	-3.339944876049419e-24	3.1991860678484493e-24	5.999999999999804	5.999999999999798
0.0	-1.029142421003553	-1.2458039833200902	-4.4379267075275514e-23	4.437620523424417e-23	6.0000000000002265	6.000000000000231
0.0	-1.029142421003553	-1.1374732021618217	2.191998509817929e-23	-2.1979922262472785e-23	6.000000000000001	6.000000000000001
0.0	-1.029142421003553	-1.029142421003553	-1.0653624451932918e-21	-1.0653646233854392e-21	6.0000000000061915	6.0000000000061915
0.0	-1.029142421003553	-0.9208116398452841	-1.7115231225250456e-24	1.712751923296722e-24	5.999999999999992	5.999999999999993
0.0	-1.029142421003553	-0.8124808586870155	2.4537677409989778e-26	-2.45278954668512e-26	6.000000000000004	6.0000000000000036
0.0	-1.029142421003553	-0.7041500775287467	5.261141181031642e-23	-5.219544265482352e-23	5.9999999999999805	5.999999999999981
0.0	-1.029142421003553	-0.5958192963704779	-1.8385816448935072e-16	1.8947539005762655e-16	5.999999999764594	5.999999999783824
0.0	-1.029142421003553	-0.48748851521220926	-3.043195397599282e-24	3.0138996915586065e-24	5.9999999999064215	5.999999999917794
0.0	-1.029142421003553	-0.3791577340539405	-5.735943337287489e-28	5.704328788796173e-28	6.000000000000062	6.00000000000005
0.0	-1.029142421003553	-0.2708269528956717	-8.031989052032081e-25	7.6513046679632715e-25	5.9999999999999964	5.999999999999998
0.0	-1.029142421003553	-0.16249617173740294	2.4331856508907044e-21	-2.6366208571358132e-21	5.999999999963584	5.999999999973553
0.0	-1.029142421003553	-0.05416539057913439	-3.493069463491268e-21	3.5200682181128555e-21	5.999999999956956	5.999999999968487
0.0	-1.029142421003553	0.05416539057913439	-1.8190814560612404e-23	1.8086059372718595e-23	6.000000000000451	6.000000000000332
0.0	-1.029142421003553	0.16249617173740316	-1.7998772796901285e-21	1.8292925098213924e-21	5.999999999961666	5.999999999971505
0.0	-1.029142421003553	0.27082695289567194	-3.863518627083204e-25	3.6016016452631484e-25	5.999999999992924	5.999999999994703
0.0	-1.029142421003553	0.3791577340539407	3.34270802510063e-19	-3.200467084248414e-19	5.999999999995363	5.999999999996458
0.0	-1.029142421003553	0.48748851521220926	2.1734765914673715e-25	-2.18237476363414e-25	5.999999999999998	5.999999999999998
0.0	-1.029142421003553	0.595819296370478	-2.6987966868165248e-21	2.7836407869731593e-21	5.999999999996621	5.999999999997143
0.0	-1.029142421003553	0.7041500775287468	-1.6590926878725347e-21	9.606217574547122e-21	5.9999999999999964	5.999999999999997
0.0	-1.029142421003553	0.8124808586870156	6.34996766662211e-18	-6.336144757790775e-18	6.0000000003178675	6.00000000029381
0.0	-1.029142421003553	0.9208116398452844	1.1930136168878602e-26	-1.1185783185315125e-26	5.999999999999999	5.999999999999998
0.0	-1.029142421003553	1.0291424210035531	-1.2896599697981562e-29	1.2896729697292236e-29	6.000000000000002	6.000000000000002
0.0	-1.029142421003553	1.137473202161822	-8.739186862445441e-23	6.830039274449571e-23	5.999999999994656	5.999999999994455
0.0	-1.029142421003553	1.2458039833200907	-3.692875899716351e-21	3.695394472728972e-21	6.000000000012376	6.000000000013308
0.0	-1.029142421003553	1.354134764478359	-2.5213859611481168e-21	2.587785505503245e-21	6.00000000000006	6.0000000000000675
0.0	-1.029142421003553	1.4624655456366278	-6.923680116057326e-23	6.629485479514022e-23	5.999999999996085	5.999999999995486
0.0	-1.029142421003553	1.5707963267948966	-7.547825857837015e-26	7.381427208063684e-26	5.999999999994096	5.9999999999929585
0.0	-0.9208116398452841	-1.5707963267948966	3.003890141287181e-19	-2.673058223224527e-19	6.000000001298446	6.00000000136734
0.0	-0.9208116398452841	-1.4624655456366278	4.13059977414607e-24	-4.141384767766293e-24	5.999999999999994	5.999999999999993
0.0	-0.9208116398452841	-1.354134764478359	8.386576790162614e-21	-8.390428361135854e-21	6.000000000000107	6.000000000000111
0.0	-0.9208116398452841	-1.2458039833200902	-4.6569163177054e-22	4.803208834961189e-22	6.000000000023936	6.000000000024767
0.0	-0.9208116398452841	-1.1374732021618217	7.667430113010948e-23	-7.710227394637387e-23	6.000000000001002	6.000000000001028
0.0	-0.9208116398452841	-1.029142421003553	1.713023819106326e-24	-1.7077973547762966e-24	5.999999999999993	5.999999999999992
0.0	-0.9208116398452841	-0.9208116398452841	-6.423492323837656e-27	-6.423462803699837e-27	6.000000000000016	6.000000000000016
0.0	-0.9208116398452841	-0.8124808586870155	-5.092610605952778e-26	5.1220438509059556e-26	5.999999999999987	5.999999999999987
0.0	-0.9208116398452841	-0.7041500775287467	-9.947944148607481e-25	9.94722924066723e-25	6.000000000000001	6.000000000000001
0.0	-0.9208116398452841	-0.5958192963704779	-5.007982977457685e-22	4.986261331150456e-22	5.999999997645585	5.9999999978119
0.0	-0.9208116398452841	-0.48748851521220926	5.395367590456642e-26	-5.400796996088425e-26	6.0000000000000036	6.0000000000000036
0.0	-0.9208116398452841	-0.3791577340539405	9.07675957096636e-23	-8.958398073922572e-23	5.999999999999987	5.999999999999989
0.0	-0.9208116398452841	-0.2708269528956717	6.260304852257352e-23	-6.998246697261608e-23	5.9999999999930544	5.999999999994829
0.0	-0.9208116398452841	-0.16249617173740294	5.646657628977533e-23	-4.3346828525398963e-23	5.99999999999359	5.999999999995183
0.0	-0.9208116398452841	-0.05416539057913439	-3.5947727521070576e-26	3.5771567612663155e-26	6.000000000000004	6.0000000000000036
0.0	-0.9208116398452841	0.05416539057913439	-1.482640573659465e-26	1.4844552557413682e-26	5.999999999999971	5.999999999999977
0.0	-0.9208116398452841	0.16249617173740316	2.2863017389617168e-26	-2.2851743034244395e-26	6.000000000000003	6.000000000000002
0.0	-0.9208116398452841	0.27082695289567194	1.5494962166652e-27	-1.5410262194714107e-27	6.0000000000000036	6.000000000000003
