alpha	beta	Jinit	J12	Jmax	theta0
0.2	0.005	0.5	2	3	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	-6.02380810965035e-31	-6.023804233982345e-31	3.0	3.0
0.0	-1.5707963267948966	-1.4624655456366278	1.0755394452915751e-25	-1.0751739645137643e-25	3.0000000000000027	3.0000000000000027
0.0	-1.5707963267948966	-1.354134764478359	-3.36741882984344e-31	3.369116356000526e-31	3.0	3.0
0.0	-1.5707963267948966	-1.2458039833200902	-1.2390798020380307e-26	1.2428510013950644e-26	3.0	3.0
0.0	-1.5707963267948966	-1.1374732021618217	2.4511223223542092e-33	-2.4797986020011652e-33	3.0	3.0
0.0	-1.5707963267948966	-1.029142421003553	-1.8676768430548996e-33	1.868550566877491e-33	3.0	3.0
0.0	-1.5707963267948966	-0.9208116398452841	-3.448047292917298e-32	3.4068844301955584e-32	3.0	3.0
0.0	-1.5707963267948966	-0.8124808586870155	-8.650791184233673e-33	8.652687811554201e-33	3.0000000000000004	3.0000000000000004
0.0	-1.5707963267948966	-0.7041500775287467	-5.3494361348779714e-33	5.351226903691464e-33	3.0	3.0
0.0	-1.5707963267948966	-0.5958192963704779	-7.834242605148262e-23	7.827893193230326e-23	2.999999999958551	2.9999999999585536
0.0	-1.5707963267948966	-0.48748851521220926	1.6001865214237274e-32	-1.6124892255346775e-32	3.0000000000000053	3.0000000000000053
0.0	-1.5707963267948966	-0.3791577340539405	-1.4430434114183248e-34	1.435616039381704e-34	3.0	3.0
0.0	-1.5707963267948966	-0.2708269528956717	-1.4291920866966244e-37	1.377549825923401e-37	3.0	3.0
0.0	-1.5707963267948966	-0.16249617173740294	-7.28527662497554e-36	9.646477110860593e-36	3.0	3.0
0.0	-1.5707963267948966	-0.05416539057913439	-1.446080622738414e-33	1.485142964463337e-33	3.0	3.0
0.0	-1.5707963267948966	0.05416539057913439	-4.67254832930103e-31	6.897238673280409e-32	3.0	3.0
0.0	-1.5707963267948966	0.16249617173740316	-7.5847138467596495e-25	-1.6317499547544072e-24	3.0000000000000218	3.0000000000000204
0.0	-1.5707963267948966	0.27082695289567194	-2.6856714069913434e-34	2.4340417642573733e-34	3.0	3.0
0.0	-1.5707963267948966	0.3791577340539407	3.3292613645897946e-36	-3.525602884990019e-36	3.0	3.0
0.0	-1.5707963267948966	0.48748851521220926	3.4751774597166755e-36	-4.092868812127929e-36	3.0	3.0
0.0	-1.5707963267948966	0.595819296370478	2.877308712631157e-35	-1.5982321797677864e-37	3.0	3.0
0.0	-1.5707963267948966	0.7041500775287468	2.4382687418219056e-34	-1.211431396200042e-34	3.0	3.0
0.0	-1.5707963267948966	0.8124808586870156	-2.7502824020434388e-37	2.749117159938905e-37	3.0	3.0
0.0	-1.5707963267948966	0.9208116398452844	1.2137086313833316e-33	-1.5737202173856145e-33	3.0	3.0
0.0	-1.5707963267948966	1.0291424210035531	-1.9833043722461412e-33	1.4123218189013476e-33	3.0	3.0
0.0	-1.5707963267948966	1.137473202161822	2.5846999830623525e-31	-2.948571086206884e-31	3.0	3.0
0.0	-1.5707963267948966	1.2458039833200907	-4.7578033710530453e-32	1.1934743034982856e-31	3.0	3.0
0.0	-1.5707963267948966	1.354134764478359	2.7712625666552003e-25	-1.239035843749308e-25	2.9999999998908002	2.999999999893574
0.0	-1.5707963267948966	1.4624655456366278	1.3324390906696903e-31	-1.8067825286825715e-31	3.0	3.0
0.0	-1.5707963267948966	1.5707963267948966	-2.885813993396426e-25	2.892757363251769e-25	3.0	3.0
0.0	-1.4624655456366278	-1.5707963267948966	-1.0753866534023063e-25	1.0753087758000352e-25	3.0000000000000027	3.0000000000000027
0.0	-1.4624655456366278	-1.4624655456366278	3.243588590423969e-33	3.2435889346939096e-33	3.0	3.0
0.0	-1.4624655456366278	-1.354134764478359	-1.268234433413279e-35	1.269048276544351e-35	3.0	3.0
0.0	-1.4624655456366278	-1.2458039833200902	-1.0870326511196414e-32	1.0991578047131143e-32	3.0	3.0
0.0	-1.4624655456366278	-1.1374732021618217	-3.1201963984726665e-30	3.120582489689255e-30	3.0	3.0
0.0	-1.4624655456366278	-1.029142421003553	1.9997959062302557e-28	-2.005743750642326e-28	3.0	3.0
0.0	-1.4624655456366278	-0.9208116398452841	1.5996704511730767e-37	-1.6007287003448222e-37	3.0	3.0
0.0	-1.4624655456366278	-0.8124808586870155	4.3695667420797705e-34	-4.388834277469777e-34	3.0	3.0
0.0	-1.4624655456366278	-0.7041500775287467	3.8545193345555985e-38	-3.907152154179778e-38	3.0	3.0
0.0	-1.4624655456366278	-0.5958192963704779	9.866397285670855e-36	-9.867429904570428e-36	3.0	3.0
0.0	-1.4624655456366278	-0.48748851521220926	2.0963983680434023e-35	-2.074920025927509e-35	3.0	3.0
0.0	-1.4624655456366278	-0.3791577340539405	1.840554883155046e-32	-1.4814675063249167e-32	3.0	3.0
0.0	-1.4624655456366278	-0.2708269528956717	6.628715734936752e-37	-5.894847485522135e-37	3.0	3.0
0.0	-1.4624655456366278	-0.16249617173740294	7.629106632471605e-32	-7.767675275135055e-32	3.0	3.0
0.0	-1.4624655456366278	-0.05416539057913439	-3.1307673311276272e-31	3.0429676434463946e-31	3.0	3.0
0.0	-1.4624655456366278	0.05416539057913439	2.1843885174222744e-32	-2.3663204327872036e-32	3.0	3.0
0.0	-1.4624655456366278	0.16249617173740316	-5.5134072130993495e-30	-5.2636566421003794e-30	3.0	3.0
