alpha	beta	Jinit	J12	Jmax	theta0
0.2	0.005	4	3	10	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	1.4980923387224097e-38	1.4980922335859067e-38	10.0	10.0
0.0	-1.5707963267948966	-1.3463968515384828	1.5220608286650485e-36	-1.5287826868128032e-36	10.0	10.0
0.0	-1.5707963267948966	-1.121997376282069	4.786697958505231e-36	1.1049463417606022e-35	10.0	10.0
0.0	-1.5707963267948966	-0.8975979010256552	-1.6094287989062933e-36	1.679518423991729e-36	10.0	10.0
0.0	-1.5707963267948966	-0.6731984257692414	-9.274088789419264e-38	1.03210693516595e-37	10.0	10.0
0.0	-1.5707963267948966	-0.4487989505128276	2.8845220982908898e-36	6.808418787878222e-35	10.0	10.0
0.0	-1.5707963267948966	-0.2243994752564138	-1.425444219265302e-38	8.645727645198031e-39	10.0	10.0
0.0	-1.5707963267948966	0.0	-4.186221286213026e-40	-3.94803017961572e-40	10.0	10.0
0.0	-1.5707963267948966	0.2243994752564138	4.2934456392881544e-41	3.1713125331848884e-41	10.0	10.0
0.0	-1.5707963267948966	0.4487989505128276	6.436348505881659e-38	-4.4843068462729745e-38	10.0	10.0
0.0	-1.5707963267948966	0.6731984257692414	-2.109424155543231e-38	2.449895701336754e-38	10.0	10.0
0.0	-1.5707963267948966	0.8975979010256552	-1.55368130079565e-36	1.4469157045548536e-36	10.0	10.0
0.0	-1.5707963267948966	1.121997376282069	-3.711206462287016e-30	2.9426572884834947e-30	10.0	10.0
0.0	-1.5707963267948966	1.3463968515384828	-3.109969714372624e-36	4.5593933284146816e-36	10.0	10.0
0.0	-1.5707963267948966	1.5707963267948966	1.2995514934600848e-34	-1.2995879464573012e-34	10.0	10.0
0.0	-1.3463968515384828	-1.5707963267948966	-1.54742944869771e-36	1.5186285862266022e-36	10.0	10.0
0.0	-1.3463968515384828	-1.3463968515384828	-3.8631225463798406e-32	-3.8631223270604547e-32	9.99999999999999	9.99999999999999
0.0	-1.3463968515384828	-1.121997376282069	-4.2098533231041194e-39	3.82448346224691e-39	10.0	10.0
0.0	-1.3463968515384828	-0.8975979010256552	-3.554680041813368e-27	-3.203315630039616e-27	10.0	10.0
0.0	-1.3463968515384828	-0.6731984257692414	7.895232080199642e-38	7.620350408966228e-38	10.0	10.0
0.0	-1.3463968515384828	-0.4487989505128276	-3.355892144961413e-40	4.867400840840944e-40	10.0	10.0
0.0	-1.3463968515384828	-0.2243994752564138	-1.1855395360086135e-34	-1.2082479168184803e-34	10.0	10.0
0.0	-1.3463968515384828	0.0	-7.091995486521368e-34	1.075219190219393e-33	10.0	10.0
0.0	-1.3463968515384828	0.2243994752564138	3.4329560436776643e-34	-1.1018929954501802e-33	10.000000000000009	10.000000000000009
0.0	-1.3463968515384828	0.4487989505128276	-1.1008094365151868e-36	9.70072604040234e-37	10.0	10.0
0.0	-1.3463968515384828	0.6731984257692414	-5.451634205662965e-34	5.1283952815084464e-34	10.0	10.0
0.0	-1.3463968515384828	0.8975979010256552	2.524104876705674e-34	-2.6940315547101374e-34	10.0	10.0
0.0	-1.3463968515384828	1.121997376282069	1.2138093540034062e-31	-3.955995111818474e-31	10.0	10.0
0.0	-1.3463968515384828	1.3463968515384828	3.1318366438707e-38	-3.1330792798837666e-38	10.0	10.0
0.0	-1.3463968515384828	1.5707963267948966	-4.556801476964139e-36	3.110540107935873e-36	10.0	10.0
