alpha	beta	Jinit	J12	Jmax	theta0
0.5	0.1	0.5	2	5.4	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	1.0931939371603396e-35	1.0932033533918827e-35	5.4	5.4
0.0	-1.5707963267948966	-1.4624655456366278	-7.061619897971554e-34	7.062925706510652e-34	5.4	5.4
0.0	-1.5707963267948966	-1.354134764478359	1.4809105988305196e-29	1.4395061913161013e-29	5.4	5.4
0.0	-1.5707963267948966	-1.2458039833200902	-4.5160632544527293e-38	4.5161067680101113e-38	5.4	5.4
0.0	-1.5707963267948966	-1.1374732021618217	-1.2377179535246642e-28	-9.085076908259614e-29	5.4	5.4
0.0	-1.5707963267948966	-1.029142421003553	3.727510976962937e-34	-3.721448353314989e-34	5.4	5.4
0.0	-1.5707963267948966	-0.9208116398452841	-1.0562099268135072e-37	1.0583049717501477e-37	5.4	5.4
0.0	-1.5707963267948966	-0.8124808586870155	1.1000953871792984e-32	-1.0873914535007494e-32	5.4	5.4
0.0	-1.5707963267948966	-0.7041500775287467	1.2840914879724916e-39	-1.284694160653468e-39	5.4	5.4
0.0	-1.5707963267948966	-0.5958192963704779	-1.074175611483225e-34	1.0623569114930113e-34	5.4	5.4
0.0	-1.5707963267948966	-0.48748851521220926	2.816010235793611e-36	-2.8162237934636547e-36	5.4	5.4
0.0	-1.5707963267948966	-0.3791577340539405	-2.0475384389550753e-35	2.0445815183854457e-35	5.4	5.4
0.0	-1.5707963267948966	-0.2708269528956717	-2.142397041441797e-34	2.145742640020841e-34	5.4	5.4
0.0	-1.5707963267948966	-0.16249617173740294	6.337906975648708e-38	-1.8964005502523579e-38	5.4	5.4
0.0	-1.5707963267948966	-0.05416539057913439	-5.292205955200503e-35	5.249306013057013e-35	5.4	5.4
0.0	-1.5707963267948966	0.05416539057913439	1.9399625059997708e-36	-1.939728483613212e-36	5.4	5.4
0.0	-1.5707963267948966	0.16249617173740316	1.7868073164726265e-35	-1.7755343481926057e-35	5.4	5.4
0.0	-1.5707963267948966	0.27082695289567194	-1.795857478646904e-39	1.8308922214322378e-39	5.4	5.4
0.0	-1.5707963267948966	0.3791577340539407	-3.258924863842033e-32	-3.2882738299605e-32	5.4	5.4
0.0	-1.5707963267948966	0.48748851521220926	-6.526272453671701e-38	6.467039443915631e-38	5.4	5.4
0.0	-1.5707963267948966	0.595819296370478	3.0954822368006174e-35	-3.181908429122588e-35	5.4	5.4
0.0	-1.5707963267948966	0.7041500775287468	3.553246358078664e-31	-4.521950291084699e-31	5.4	5.4
0.0	-1.5707963267948966	0.8124808586870156	-1.343908964294382e-32	1.4761360379966695e-32	5.4	5.4
0.0	-1.5707963267948966	0.9208116398452844	4.3451269243473467e-35	-4.38963919632927e-35	5.4	5.4
0.0	-1.5707963267948966	1.0291424210035531	-1.664566890621918e-33	1.6843177464855268e-33	5.4	5.4
0.0	-1.5707963267948966	1.137473202161822	3.2303661838471385e-30	-3.3884983141049845e-30	5.4	5.4
0.0	-1.5707963267948966	1.2458039833200907	1.325283315745516e-30	-1.2726116760423323e-30	5.4	5.4
0.0	-1.5707963267948966	1.354134764478359	-8.723481221608901e-35	8.806029685693649e-35	5.4	5.4
0.0	-1.5707963267948966	1.4624655456366278	8.226198526902928e-31	-8.201793503231172e-31	5.4	5.4
0.0	-1.5707963267948966	1.5707963267948966	1.0431298856981133e-33	-1.0432426000702403e-33	5.4	5.4
0.0	-1.4624655456366278	-1.5707963267948966	7.050207448309873e-34	-7.075500559330899e-34	5.4	5.4
0.0	-1.4624655456366278	-1.4624655456366278	9.606427300246805e-37	9.606432486750928e-37	5.4	5.4
0.0	-1.4624655456366278	-1.354134764478359	-1.5047161577941038e-32	1.5044675494653143e-32	5.4	5.4
0.0	-1.4624655456366278	-1.2458039833200902	1.1021886509901936e-36	-1.1021747192157365e-36	5.4	5.4
0.0	-1.4624655456366278	-1.1374732021618217	2.283523483076167e-34	-2.2796427006874404e-34	5.4	5.4
0.0	-1.4624655456366278	-1.029142421003553	1.353983558244884e-33	-1.2835714234111819e-33	5.4	5.4
0.0	-1.4624655456366278	-0.9208116398452841	-4.867176815003744e-36	4.8669759793040575e-36	5.4	5.4
0.0	-1.4624655456366278	-0.8124808586870155	-1.735146761954647e-36	1.7356091681875698e-36	5.4	5.4
0.0	-1.4624655456366278	-0.7041500775287467	-3.460006274404725e-34	3.4633689680412896e-34	5.4	5.4
0.0	-1.4624655456366278	-0.5958192963704779	3.370865493766075e-31	-2.0784221692278474e-31	5.4	5.4
0.0	-1.4624655456366278	-0.48748851521220926	2.142430163547391e-37	-3.337142140105827e-37	5.4	5.4
0.0	-1.4624655456366278	-0.3791577340539405	1.8732817506855246e-37	-1.8733022981572944e-37	5.4	5.4
0.0	-1.4624655456366278	-0.2708269528956717	-2.3017549089967207e-32	-3.522402717624617e-31	5.4	5.4
