alpha	beta	Jinit	J12	Jmax	theta0
0.5	0.2	2	54	5.4	0.3490658503988659

omega	theta1_i	theta2_i	theta1_f	theta2_f	J1_f	J2_f
0.0	-1.5707963267948966	-1.5707963267948966	-1.0822250159629756e-24	-1.082224209737875e-24	5.400000000000002	5.400000000000002
0.0	-1.5707963267948966	-1.4624655456366278	1.860986438082698e-22	1.8609864492882975e-22	5.400000000000207	5.400000000000207
0.0	-1.5707963267948966	-1.354134764478359	3.621066062047062e-26	3.621046606735844e-26	5.400000000001096	5.400000000001096
0.0	-1.5707963267948966	-1.2458039833200902	2.3368371846079957e-28	1.4630318472420058e-28	5.4	5.4
0.0	-1.5707963267948966	-1.1374732021618217	-6.843837593145767e-30	-6.843837589560611e-30	5.400000000004186	5.400000000004186
0.0	-1.5707963267948966	-1.029142421003553	8.480228403877801e-30	8.480228515794543e-30	5.3999999999999995	5.3999999999999995
0.0	-1.5707963267948966	-0.9208116398452841	-5.177294612111939e-31	-5.17720361573121e-31	5.3999999999999995	5.3999999999999995
0.0	-1.5707963267948966	-0.8124808586870155	-1.5272740036456296e-26	-1.5274743739878813e-26	5.400000000000083	5.400000000000083
0.0	-1.5707963267948966	-0.7041500775287467	-3.69722678925831e-29	-3.6972950757991753e-29	5.399999999999999	5.399999999999999
0.0	-1.5707963267948966	-0.5958192963704779	1.8013280686771315e-23	1.8013293296705176e-23	5.399999999937347	5.3999999999373465
0.0	-1.5707963267948966	-0.48748851521220926	-1.6549745617348767e-29	-1.6545420442809598e-29	5.4	5.4
0.0	-1.5707963267948966	-0.3791577340539405	2.4666325615117093e-27	2.466601110111985e-27	5.399999999999999	5.399999999999999
0.0	-1.5707963267948966	-0.2708269528956717	1.505664450283625e-30	1.5005386189382289e-30	5.4	5.4
0.0	-1.5707963267948966	-0.16249617173740294	4.12468457239301e-28	4.124690023439538e-28	5.3999999999999995	5.3999999999999995
0.0	-1.5707963267948966	-0.05416539057913439	2.6938648737678884e-35	2.693855262651489e-35	5.4	5.4
0.0	-1.5707963267948966	0.05416539057913439	-6.652652753451985e-26	-6.601197131935301e-26	5.4	5.4
0.0	-1.5707963267948966	0.16249617173740316	-2.2487807286433272e-29	-2.248781919601967e-29	5.399999999999989	5.399999999999988
0.0	-1.5707963267948966	0.27082695289567194	3.113670837359226e-23	3.114099398627988e-23	5.400000000000016	5.400000000000016
0.0	-1.5707963267948966	0.3791577340539407	-6.876963945814033e-27	-6.876960471227812e-27	5.400000000000003	5.400000000000003
0.0	-1.5707963267948966	0.48748851521220926	3.116692275228014e-18	3.233074591797608e-18	5.399999999997345	5.399999999997372
0.0	-1.5707963267948966	0.595819296370478	-6.904568083767607e-33	-6.904587294260447e-33	5.40000000000001	5.40000000000001
0.0	-1.5707963267948966	0.7041500775287468	-4.088781717675661e-27	-4.089305827831688e-27	5.400000000000001	5.400000000000001
0.0	-1.5707963267948966	0.8124808586870156	-2.0278765325930473e-32	-2.0278758946315818e-32	5.400000000000001	5.400000000000001
0.0	-1.5707963267948966	0.9208116398452844	-5.6613699897874585e-31	-5.661390532590869e-31	5.4	5.4
0.0	-1.5707963267948966	1.0291424210035531	1.0316288239396268e-29	1.0362837204154264e-29	5.3999999999999995	5.399999999999999
0.0	-1.5707963267948966	1.137473202161822	-7.76903107298819e-22	-7.711234010099542e-22	5.399999999998219	5.399999999998233
0.0	-1.5707963267948966	1.2458039833200907	-3.527084965797956e-26	-3.668869131987798e-26	5.400000000000354	5.400000000000352
0.0	-1.5707963267948966	1.354134764478359	1.4054896809341325e-33	1.4054897354041365e-33	5.4	5.4
0.0	-1.5707963267948966	1.4624655456366278	5.530857609019837e-32	5.530871629618505e-32	5.400000000000002	5.400000000000002
0.0	-1.5707963267948966	1.5707963267948966	-1.6915810280672602e-27	-1.7265905182758974e-27	5.3999999999983	5.3999999999983
0.0	-1.4624655456366278	-1.5707963267948966	1.8192904522988975e-22	1.8192904412358457e-22	5.400000000000209	5.400000000000209
0.0	-1.4624655456366278	-1.4624655456366278	-1.6682320191191926e-24	-1.6682560313161496e-24	5.4	5.4
0.0	-1.4624655456366278	-1.354134764478359	-3.4505674920863116e-31	-3.450096803059527e-31	5.3999999999999995	5.3999999999999995
0.0	-1.4624655456366278	-1.2458039833200902	8.781449452127697e-29	8.797780155804992e-29	5.39999999999083	5.39999999999083
0.0	-1.4624655456366278	-1.1374732021618217	2.1521961902292515e-28	2.086141474684866e-28	5.40000000000001	5.40000000000001
0.0	-1.4624655456366278	-1.029142421003553	-1.1558973079737066e-29	-1.1561651010591066e-29	5.399999999999999	5.399999999999999
0.0	-1.4624655456366278	-0.9208116398452841	6.976962339861973e-28	6.976962350996627e-28	5.40000000000001	5.40000000000001
0.0	-1.4624655456366278	-0.8124808586870155	-1.8819400222553616e-28	-1.4202644886748593e-28	5.3999999999999995	5.3999999999999995
0.0	-1.4624655456366278	-0.7041500775287467	2.3450344018654326e-23	2.3450140366911895e-23	5.399999999495242	5.399999999495242
0.0	-1.4624655456366278	-0.5958192963704779	4.3560252467495147e-29	4.356027143542466e-29	5.400000000000009	5.400000000000009
0.0	-1.4624655456366278	-0.48748851521220926	-1.85385770697137e-23	-1.853860837099017e-23	5.400000002427239	5.400000002427239
0.0	-1.4624655456366278	-0.3791577340539405	-1.2581791730899866e-34	-1.2584262219726156e-34	5.4	5.4
0.0	-1.4624655456366278	-0.2708269528956717	-1.02788702646427e-28	-1.0278870326440306e-28	5.399999999999461	5.399999999999462
0.0	-1.4624655456366278	-0.16249617173740294	7.057335052664434e-30	7.057327313979083e-30	5.3999999999999995	5.3999999999999995
0.0	-1.4624655456366278	-0.05416539057913439	-1.337418757852051e-30	-1.337421212847781e-30	5.3999999999999995	5.3999999999999995
0.0	-1.4624655456366278	0.05416539057913439	-6.518026691728978e-30	-6.518272857103659e-30	5.400000000000002	5.400000000000002
0.0	-1.4624655456366278	0.16249617173740316	-2.0502668827308404e-26	-2.0502664391070256e-26	5.399999999994573	5.399999999994608
0.0	-1.4624655456366278	0.27082695289567194	2.6292435221954e-30	2.629241450830635e-30	5.400000000000019	5.400000000000017
0.0	-1.4624655456366278	0.3791577340539407	2.574645008470086e-31	2.574640243723442e-31	5.399999999999997	5.399999999999997
0.0	-1.4624655456366278	0.48748851521220926	1.8295897978841233e-29	1.8295977710386033e-29	5.3999999999999995	5.3999999999999995
0.0	-1.4624655456366278	0.595819296370478	-3.99120822471987e-29	-3.991208158332579e-29	5.4	5.4
0.0	-1.4624655456366278	0.7041500775287468	-8.49815489579368e-28	-8.498206024377391e-28	5.400000000000203	5.400000000000197
0.0	-1.4624655456366278	0.8124808586870156	2.002272731553792e-28	2.0022754545396204e-28	5.400000000000002	5.400000000000002
0.0	-1.4624655456366278	0.9208116398452844	-9.376763616479913e-25	-9.376801315448122e-25	5.399999999998723	5.399999999998738
0.0	-1.4624655456366278	1.0291424210035531	9.169241715773152e-26	9.169232449223456e-26	5.399999999999244	5.399999999999251
0.0	-1.4624655456366278	1.137473202161822	1.546683277395786e-25	1.546683091928569e-25	5.400000000000161	5.40000000000016
0.0	-1.4624655456366278	1.2458039833200907	5.761872038996543e-28	5.529950241264932e-28	5.400000000000001	5.400000000000001
0.0	-1.4624655456366278	1.354134764478359	2.459468274424313e-31	2.4540732881276102e-31	5.400000000000002	5.400000000000001
0.0	-1.4624655456366278	1.4624655456366278	-7.555817052355286e-29	-7.588171497272252e-29	5.399999999999981	5.399999999999981
0.0	-1.4624655456366278	1.5707963267948966	-5.644982227646031e-32	-5.644968220053825e-32	5.400000000000002	5.400000000000002
0.0	-1.354134764478359	-1.5707963267948966	9.58492766789856e-29	9.584855679174046e-29	5.3999999999999995	5.3999999999999995
0.0	-1.354134764478359	-1.4624655456366278	3.6061376568834773e-31	3.605664584935819e-31	5.4	5.4
0.0	-1.354134764478359	-1.354134764478359	5.821920427306553e-22	5.85529137812913e-22	5.4	5.4
0.0	-1.354134764478359	-1.2458039833200902	1.0429080077429471e-31	1.0487533332545976e-31	5.4	5.4
0.0	-1.354134764478359	-1.1374732021618217	1.2694026377005836e-25	1.2445048300959043e-25	5.400000000000001	5.400000000000001
0.0	-1.354134764478359	-1.029142421003553	1.9046237902852435e-27	1.8755197885650916e-27	5.399999999999583	5.399999999999583
0.0	-1.354134764478359	-0.9208116398452841	1.4880140829977569e-28	1.4880140829977569e-28	5.3999999999999995	5.3999999999999995
0.0	-1.354134764478359	-0.8124808586870155	3.652697567313619e-24	3.652697565343032e-24	5.400000000000145	5.400000000000145
0.0	-1.354134764478359	-0.7041500775287467	1.467656608372064e-23	1.4676571769602177e-23	5.40000000039396	5.4000000003939626
0.0	-1.354134764478359	-0.5958192963704779	5.357483098561938e-26	5.35772564864995e-26	5.399999999999815	5.399999999999815
0.0	-1.354134764478359	-0.48748851521220926	2.3699169702707386e-31	2.369919270594336e-31	5.399999999999999	5.3999999999999995
0.0	-1.354134764478359	-0.3791577340539405	1.033866200069504e-28	1.0330836187707953e-28	5.399999999999999	5.399999999999999
