K,omega1,omega2,theta1,theta2,omega_diff
0.1,0.0,0,[0.],[0.],0.0
0.1,0.017453292519943295,0,[0.01527 0.016  ],[0.00218 0.00145],0.017453292519943295
0.1,0.03490658503988659,0,[  nan 0.032],[    nan 0.00291],0.03490658503988659
0.1,0.05235987755982989,0,[  nan 0.048],[    nan 0.00436],0.05235987755982989
0.1,0.06981317007977318,0,[  nan 0.064],[    nan 0.00582],0.06981317007977318
0.1,0.08726646259971647,0,[ nan 0.08],[    nan 0.00727],0.08726646259971647
0.1,0.10471975511965978,0,[  nan 0.096],[    nan 0.00872],0.10471975511965978
0.1,0.12217304763960307,0,[    nan 0.11201],[    nan 0.01017],0.12217304763960307
0.1,0.13962634015954636,0,[    nan 0.12801],[    nan 0.01161],0.13962634015954636
0.1,0.15707963267948966,0,[    nan 0.14402],[    nan 0.01306],0.15707963267948966
0.1,0.17453292519943295,0,[    nan 0.16003],[   nan 0.0145],0.17453292519943295
0.1,0.19198621771937624,0,[    nan 0.17604],[    nan 0.01594],0.19198621771937624
0.1,0.20943951023931956,0,[    nan 0.19206],[    nan 0.01738],0.20943951023931956
0.1,0.22689280275926285,0,[    nan 0.20808],[    nan 0.01881],0.22689280275926285
0.1,0.24434609527920614,0,[   nan 0.2241],[    nan 0.02025],0.24434609527920614
0.1,0.2617993877991494,0,[    nan 0.24013],[    nan 0.02167],0.2617993877991494
0.1,0.2792526803190927,0,[    nan 0.25616],[   nan 0.0231],0.2792526803190927
0.1,0.29670597283903605,0,[    nan 0.27219],[    nan 0.02452],0.29670597283903605
0.1,0.3141592653589793,0,[    nan 0.28823],[    nan 0.02593],0.3141592653589793
0.1,0.33161255787892263,0,[    nan 0.30427],[    nan 0.02734],0.33161255787892263
0.1,0.3490658503988659,0,[    nan 0.32032],[    nan 0.02875],0.3490658503988659
0.1,0.3665191429188092,0,[    nan 0.33637],[    nan 0.03015],0.3665191429188092
0.1,0.3839724354387525,0,[    nan 0.35243],[    nan 0.03155],0.3839724354387525
0.1,0.4014257279586958,0,[    nan 0.36849],[    nan 0.03294],0.4014257279586958
0.1,0.4188790204786391,0,[    nan 0.38456],[    nan 0.03432],0.4188790204786391
0.1,0.4363323129985824,0,[    nan 0.40064],[   nan 0.0357],0.4363323129985824
0.1,0.4537856055185257,0,[    nan 0.41672],[    nan 0.03707],0.4537856055185257
0.1,0.47123889803846897,0,[    nan 0.43281],[    nan 0.03843],0.47123889803846897
0.1,0.4886921905584123,0,[   nan 0.4489],[    nan 0.03979],0.4886921905584123
0.1,0.5061454830783556,0,[    nan 0.46501],[    nan 0.04114],0.5061454830783556
0.1,0.5235987755982988,0,[    nan 0.48112],[    nan 0.04248],0.5235987755982988
0.1,0.5410520681182421,0,[    nan 0.49723],[    nan 0.04382],0.5410520681182421
0.1,0.5585053606381855,0,[    nan 0.51336],[    nan 0.04514],0.5585053606381855
0.1,0.5759586531581288,0,[   nan 0.5295],[    nan 0.04646],0.5759586531581288
0.1,0.5934119456780721,0,[    nan 0.54564],[    nan 0.04777],0.5934119456780721
0.1,0.6108652381980153,0,[    nan 0.56179],[    nan 0.04907],0.6108652381980153
0.1,0.6283185307179586,0,[    nan 0.57795],[    nan 0.05037],0.6283185307179586
0.1,0.6457718232379019,0,[    nan 0.59412],[    nan 0.05165],0.6457718232379019
0.1,0.6632251157578453,0,[   nan 0.6103],[    nan 0.05292],0.6632251157578453
0.1,0.6806784082777885,0,[    nan 0.62649],[    nan 0.05418],0.6806784082777885
0.1,0.6981317007977318,0,[   nan 0.6427],[    nan 0.05544],0.6981317007977318
0.1,0.7155849933176751,0,[    nan 0.65891],[    nan 0.05668],0.7155849933176751
0.1,0.7330382858376184,0,[    nan 0.67513],[    nan 0.05791],0.7330382858376184
0.1,0.7504915783575618,0,[    nan 0.69136],[    nan 0.05913],0.7504915783575618
0.1,0.767944870877505,0,[    nan 0.70761],[    nan 0.06034],0.767944870877505
0.1,0.7853981633974483,0,[    nan 0.72386],[    nan 0.06153],0.7853981633974483
0.1,0.8028514559173916,0,[    nan 0.74013],[    nan 0.06272],0.8028514559173916
0.1,0.8203047484373349,0,[    nan 0.75641],[    nan 0.06389],0.8203047484373349
0.1,0.8377580409572782,0,[    nan 0.77271],[    nan 0.06505],0.8377580409572782
0.1,0.8552113334772214,0,[    nan 0.78901],[   nan 0.0662],0.8552113334772214
0.1,0.8726646259971648,0,[    nan 0.80533],[    nan 0.06733],0.8726646259971648
0.1,0.8901179185171081,0,[    nan 0.82167],[    nan 0.06845],0.8901179185171081
0.1,0.9075712110370514,0,[    nan 0.83801],[    nan 0.06956],0.9075712110370514
0.1,0.9250245035569946,0,[    nan 0.85437],[    nan 0.07065],0.9250245035569946
0.1,0.9424777960769379,0,[    nan 0.87075],[    nan 0.07173],0.9424777960769379
0.1,0.9599310885968813,0,[    nan 0.88714],[    nan 0.07279],0.9599310885968813
0.1,0.9773843811168246,0,[    nan 0.90354],[    nan 0.07384],0.9773843811168246
0.1,0.9948376736367679,0,[    nan 0.91996],[    nan 0.07487],0.9948376736367679
0.1,1.0122909661567112,0,[   nan 0.9364],[    nan 0.07589],1.0122909661567112
0.1,1.0297442586766545,0,[    nan 0.95285],[    nan 0.07689],1.0297442586766545
0.1,1.0471975511965976,0,[    nan 0.96932],[    nan 0.07788],1.0471975511965976
0.1,1.064650843716541,0,[    nan 0.98581],[    nan 0.07885],1.064650843716541
0.1,1.0821041362364843,0,[    nan 1.00231],[   nan 0.0798],1.0821041362364843
0.1,1.0995574287564276,0,[    nan 1.01883],[    nan 0.08073],1.0995574287564276
0.1,1.117010721276371,0,[    nan 1.03536],[    nan 0.08165],1.117010721276371
0.1,1.1344640137963142,0,[    nan 1.05192],[    nan 0.08255],1.1344640137963142
0.1,1.1519173063162575,0,[    nan 1.06849],[    nan 0.08343],1.1519173063162575
0.1,1.1693705988362009,0,[    nan 1.08508],[    nan 0.08429],1.1693705988362009
0.1,1.1868238913561442,0,[    nan 1.10169],[    nan 0.08513],1.1868238913561442
0.1,1.2042771838760873,0,[    nan 1.11832],[    nan 0.08596],1.2042771838760873
0.1,1.2217304763960306,0,[    nan 1.13497],[    nan 0.08676],1.2217304763960306
0.1,1.239183768915974,0,[    nan 1.15164],[    nan 0.08755],1.239183768915974
0.1,1.2566370614359172,0,[    nan 1.16833],[    nan 0.08831],1.2566370614359172
0.1,1.2740903539558606,0,[    nan 1.18504],[    nan 0.08906],1.2740903539558606
0.1,1.2915436464758039,0,[    nan 1.20177],[    nan 0.08978],1.2915436464758039
0.1,1.3089969389957472,0,[    nan 1.21852],[    nan 0.09048],1.3089969389957472
0.1,1.3264502315156905,0,[    nan 1.23529],[    nan 0.09116],1.3264502315156905
0.1,1.3439035240356338,0,[    nan 1.25208],[    nan 0.09182],1.3439035240356338
0.1,1.361356816555577,0,[   nan 1.2689],[    nan 0.09246],1.361356816555577
0.1,1.3788101090755203,0,[    nan 1.28574],[    nan 0.09307],1.3788101090755203
0.1,1.3962634015954636,0,[   nan 1.3026],[    nan 0.09366],1.3962634015954636
0.1,1.413716694115407,0,[    nan 1.31949],[    nan 0.09423],1.413716694115407
0.1,1.4311699866353502,0,[   nan 1.3364],[    nan 0.09477],1.4311699866353502
0.1,1.4486232791552935,0,[    nan 1.35333],[    nan 0.09529],1.4486232791552935
0.1,1.4660765716752369,0,[    nan 1.37029],[    nan 0.09579],1.4660765716752369
0.1,1.4835298641951802,0,[    nan 1.38727],[    nan 0.09626],1.4835298641951802
0.1,1.5009831567151235,0,[    nan 1.40428],[    nan 0.09671],1.5009831567151235
0.1,1.5184364492350666,0,[    nan 1.42131],[    nan 0.09713],1.5184364492350666
0.1,1.53588974175501,0,[    nan 1.43837],[    nan 0.09752],1.53588974175501
0.1,1.5533430342749532,0,[1.45479 1.45545],[0.09855 0.09789],1.5533430342749532
0.1,1.5707963267948966,0,[1.47256     nan     nan],[0.09823     nan     nan],1.5707963267948966
0.1,1.5882496193148399,0,[1.4897  1.49036],[0.09855 0.09789],1.5882496193148399
0.1,1.6057029118347832,0,[1.50686     nan],[0.09884     nan],1.6057029118347832
0.1,1.6231562043547265,0,[1.52406     nan],[0.0991    nan],1.6231562043547265
0.1,1.6406094968746698,0,[1.54128     nan],[0.09933     nan],1.6406094968746698
0.1,1.6580627893946132,0,[1.55852     nan],[0.09954     nan],1.6580627893946132
0.1,1.6755160819145565,0,[1.5758    nan],[0.09972     nan],1.6755160819145565
0.1,1.6929693744344996,0,[1.5931    nan],[0.09987     nan],1.6929693744344996
0.1,1.710422666954443,0,[1.61044     nan],[0.09998     nan],1.710422666954443
0.1,1.7278759594743862,0,[1.6278    nan],[0.10007     nan],1.7278759594743862
0.1,1.7453292519943295,0,[1.6452    nan],[0.10013     nan],1.7453292519943295
0.1,1.7627825445142729,0,[1.66262     nan],[0.10016     nan],1.7627825445142729
0.1,1.7802358370342162,0,[1.68007     nan],[0.10016     nan],1.7802358370342162
0.1,1.7976891295541595,0,[1.69756     nan],[0.10013     nan],1.7976891295541595
0.1,1.8151424220741028,0,[1.71507     nan],[0.10007     nan],1.8151424220741028
0.1,1.8325957145940461,0,[1.73262     nan],[0.09998     nan],1.8325957145940461
0.1,1.8500490071139892,0,[1.7502    nan],[0.09985     nan],1.8500490071139892
0.1,1.8675022996339325,0,[1.76781     nan],[0.09969     nan],1.8675022996339325
0.1,1.8849555921538759,0,[1.78545     nan],[0.0995    nan],1.8849555921538759
0.1,1.9024088846738192,0,[1.80313     nan],[0.09928     nan],1.9024088846738192
0.1,1.9198621771937625,0,[1.82084     nan],[0.09902     nan],1.9198621771937625
