replicate	time	result	x	y	cue_reached
0	0	True	5.488135039273248	502.1518936637248	-1
0	50	True	8.392223610494828	502.0797355073584	-1
0	100	False	12.712790228050958	502.06098711159916	-1
0	100	False	12.712790228050958	502.06098711159916	-1
23	0	True	4.934429277893494	500.21542245038404	-1
23	50	True	6.852079945492023	499.2808839992877	-1
23	100	True	10.33965704423384	498.54958037011164	-1
23	150	True	15.002294844837213	498.2164144316331	-1
23	200	True	19.6604729483401	497.7862652105512	-1
23	250	True	24.187322177989977	497.6300877859529	-1
23	300	True	28.945854447292934	497.8109698791378	-1
23	350	True	33.644144149469625	498.0847819882486	-1
23	400	True	38.373105713421445	497.990178597457	-1
23	450	True	43.06678995665304	497.44810480392505	-1
23	500	True	47.664518902485085	496.74634236058574	-1
23	550	True	52.3531018879937	496.68613504252164	-1
23	600	True	56.982418526554284	495.68776311356044	-1
23	650	True	61.721097090278036	495.07732583220775	-1
23	700	True	66.4727552097281	494.44682062621905	-1
23	750	True	71.2584513968118	494.23082173847956	-1
23	800	True	75.97660350414031	493.4454256439529	-1
23	850	True	80.64057389268974	492.4677376458184	-1
23	900	True	85.38259130322201	491.68998494557593	-1
23	950	True	90.09377446649054	491.3481430564519	-1
23	1000	True	94.82911769242115	490.60864106313505	-1
23	1050	True	99.49891517727237	489.6749233563859	-1
23	1100	True	104.23749583568639	488.8913326871214	-1
23	1150	True	108.91366675414356	488.0923333763456	-1
23	1200	True	113.63258804244968	488.06559814735715	-1
23	1250	True	118.17438948379517	486.75207834817985	-1
23	1300	True	122.66068524460341	485.0550342807673	-1
23	1350	True	127.4273920132816	485.0314162651194	-1
23	1400	True	132.0855674717485	484.9002351613454	-1
23	1450	True	136.82276064098627	485.64513394309074	-1
23	1500	True	141.38314590810415	486.10369572195685	-1
23	1550	True	146.02149048152776	487.33155141331736	-1
23	1600	True	150.72883506019025	488.4542545444041	-1
23	1650	True	155.4464076723481	489.5270700468119	-1
23	1700	True	160.12040752925043	490.6708489263976	-1
23	1750	True	164.6502392668359	491.25876228403337	-1
23	1800	False	168.41188957329854	491.56853131142725	-1
23	1800	False	168.41188957329854	491.56853131142725	-1
29	0	True	4.190910101766257	500.2692527428941	-1
29	50	True	5.122449404393127	499.9823781799069	-1
29	100	True	8.784453882614622	499.8264752218566	-1
29	150	True	13.385245212827853	499.57538440948605	-1
29	200	True	18.09022692568426	499.44078499494225	-1
29	250	True	22.764323119383974	499.39208458197294	-1
29	300	True	27.4227448524067	500.19918831661806	-1
29	350	True	32.138584592271584	500.52371009878493	-1
29	400	True	36.79993905207867	501.1215903675254	-1
29	450	True	41.39950026380205	501.7561797789142	-1
29	500	True	46.04796440767958	502.5193530053557	-1
29	550	True	50.713154383996944	503.0947886585664	-1
29	600	True	55.33672330895317	503.8281558300931	-1
29	650	True	59.96966046908106	504.66261030789997	-1
29	700	True	64.64173358075007	505.2267904204572	-1
29	750	True	69.26950999213139	505.60565165058813	-1
29	800	True	73.86835113148489	505.29155895103065	-1
29	850	True	78.5251319799022	504.92521132240165	-1
29	900	True	83.02504846497317	504.0120134230621	-1
29	950	True	87.6333612435689	503.69262134184083	-1
29	1000	True	92.30425756286283	503.3856255693682	-1
29	1050	True	97.07462933976281	503.35455662911306	-1
29	1100	True	101.6064954703061	502.8050636488331	-1
29	1150	True	106.23906593318257	502.05162500660117	-1
29	1200	True	110.92966167507838	502.24708864059966	-1
29	1250	True	115.58217415164013	501.6490161379471	-1
29	1300	True	120.02471495778899	500.12209803835054	-1
29	1350	True	124.58918291113972	498.89999216112886	-1
29	1400	True	129.2174630788354	498.03423032009414	-1
29	1450	True	133.90177370652697	498.1879816984902	-1
29	1500	True	138.45807219609867	498.7544602646259	-1
29	1550	True	142.94701664908072	500.22732390606024	-1
29	1600	True	147.3233109966889	501.5557186731697	-1
29	1650	True	151.9777597344995	502.18203115189476	-1
29	1700	True	156.5939114400432	502.4876541907979	-1
29	1750	False	160.60544930899667	502.61403426472515	-1
29	1750	False	160.60544930899667	502.61403426472515	-1
25	0	True	5.399948981197341	499.7952578331842	-1
25	50	True	7.5455676861637695	499.5913828641778	-1
25	100	True	11.629895193692422	499.55991008938287	-1
